employee_id,date,service_period,role_assigned,scheduled_hours,hours_worked,overtime_hours,consecutive_work_days,is_rest_day,is_holiday,is_weekend,demand_pressure_score,delivery_order_volume
RST_061,2025-07-01,11_13,garzon,2.0,2.0,0.0,1,False,False,False,0.37,7
RST_039,2025-07-01,11_13,garzon,2.0,2.0,0.0,1,False,False,False,0.37,7
RST_031,2025-07-01,11_13,host,2.0,2.0,0.0,1,False,False,False,0.73,7
RST_013,2025-07-01,11_13,cajero,2.0,2.0,0.0,1,False,False,False,0.73,7
RST_016,2025-07-01,11_13,cocinero_linea,2.0,2.0,0.0,1,False,False,False,0.37,7
RST_051,2025-07-01,11_13,cocinero_linea,2.0,2.0,0.0,1,False,False,False,0.37,7
RST_063,2025-07-01,11_13,ayudante_cocina,2.0,2.0,0.0,1,False,False,False,0.73,7
RST_020,2025-07-01,11_13,runner,2.0,2.0,0.0,1,False,False,False,0.73,7
RST_044,2025-07-01,11_13,copero,2.0,2.0,0.0,1,False,False,False,0.73,7
RST_008,2025-07-01,11_13,jefe_turno,2.0,2.0,0.0,1,False,False,False,0.73,7
RST_060,2025-07-01,13_15,garzon,2.0,2.0,0.0,1,False,False,False,0.44,15
RST_059,2025-07-01,13_15,garzon,2.0,2.0,0.0,1,False,False,False,0.44,15
RST_003,2025-07-01,13_15,garzon,2.0,2.0,0.0,1,False,False,False,0.44,15
RST_066,2025-07-01,13_15,garzon,2.0,2.0,0.0,1,False,False,False,0.44,15
RST_072,2025-07-01,13_15,garzon,2.0,2.0,0.0,1,False,False,False,0.44,15
RST_040,2025-07-01,13_15,garzon,2.0,2.0,0.0,1,False,False,False,0.44,15
RST_062,2025-07-01,13_15,garzon,2.0,2.0,0.0,1,False,False,False,0.44,15
RST_031,2025-07-01,13_15,host,2.0,2.0,0.0,1,False,False,False,1.5,15
RST_039,2025-07-01,13_15,host,2.0,2.0,0.0,1,False,False,False,1.5,15
RST_067,2025-07-01,13_15,cajero,2.0,2.0,0.0,1,False,False,False,1.5,15
RST_006,2025-07-01,13_15,cajero,2.0,2.0,0.0,1,False,False,False,1.5,15
RST_036,2025-07-01,13_15,cocinero_linea,2.0,2.0,0.0,1,False,False,False,0.77,15
RST_010,2025-07-01,13_15,cocinero_linea,2.0,2.0,0.0,1,False,False,False,0.77,15
RST_051,2025-07-01,13_15,cocinero_linea,2.0,2.0,0.0,1,False,False,False,0.77,15
RST_054,2025-07-01,13_15,cocinero_linea,2.0,2.0,0.0,1,False,False,False,0.77,15
RST_046,2025-07-01,13_15,ayudante_cocina,2.0,2.0,0.0,1,False,False,False,1.02,15
RST_028,2025-07-01,13_15,ayudante_cocina,2.0,2.0,0.0,1,False,False,False,1.02,15
RST_043,2025-07-01,13_15,ayudante_cocina,2.0,2.0,0.0,1,False,False,False,1.02,15
RST_033,2025-07-01,13_15,runner,2.0,2.0,0.0,1,False,False,False,1.5,15
RST_057,2025-07-01,13_15,runner,2.0,2.0,0.0,1,False,False,False,1.5,15
RST_048,2025-07-01,13_15,copero,2.0,2.0,0.5,1,False,False,False,1.5,15
RST_032,2025-07-01,13_15,copero,2.0,2.0,0.6,1,False,False,False,1.5,15
RST_008,2025-07-01,13_15,jefe_turno,2.0,2.0,0.0,1,False,False,False,1.5,15
RST_066,2025-07-01,19_21,garzon,2.0,2.0,0.0,1,False,False,False,0.34,24
RST_034,2025-07-01,19_21,garzon,2.0,2.0,0.0,1,False,False,False,0.34,24
RST_003,2025-07-01,19_21,garzon,2.0,2.0,0.0,1,False,False,False,0.34,24
RST_071,2025-07-01,19_21,garzon,2.0,2.0,0.0,1,False,False,False,0.34,24
RST_062,2025-07-01,19_21,garzon,2.0,2.0,0.0,1,False,False,False,0.34,24
RST_072,2025-07-01,19_21,garzon,2.0,2.0,0.0,1,False,False,False,0.34,24
RST_007,2025-07-01,19_21,garzon,2.0,2.0,0.0,1,False,False,False,0.34,24
RST_056,2025-07-01,19_21,garzon,2.0,2.0,0.0,1,False,False,False,0.34,24
RST_031,2025-07-01,19_21,host,2.0,2.0,0.0,1,False,False,False,1.37,24
RST_037,2025-07-01,19_21,host,2.0,2.0,0.0,1,False,False,False,1.37,24
RST_006,2025-07-01,19_21,cajero,2.0,2.0,0.0,1,False,False,False,1.37,24
RST_064,2025-07-01,19_21,cajero,2.0,2.0,0.8,1,False,False,False,1.37,24
RST_051,2025-07-01,19_21,cocinero_linea,2.0,2.0,0.0,1,False,False,False,0.55,24
RST_050,2025-07-01,19_21,cocinero_linea,2.0,2.0,0.0,1,False,False,False,0.55,24
RST_035,2025-07-01,19_21,cocinero_linea,2.0,2.0,0.0,1,False,False,False,0.55,24
RST_054,2025-07-01,19_21,cocinero_linea,2.0,2.0,0.0,1,False,False,False,0.55,24
RST_027,2025-07-01,19_21,cocinero_linea,2.0,2.0,0.0,1,False,False,False,0.55,24
RST_063,2025-07-01,19_21,ayudante_cocina,2.0,2.0,0.6,1,False,False,False,0.91,24
RST_043,2025-07-01,19_21,ayudante_cocina,2.0,2.0,0.0,1,False,False,False,0.91,24
RST_046,2025-07-01,19_21,ayudante_cocina,2.0,2.0,0.0,1,False,False,False,0.91,24
RST_049,2025-07-01,19_21,runner,2.0,2.0,0.0,1,False,False,False,1.37,24
RST_025,2025-07-01,19_21,runner,2.0,2.0,0.0,1,False,False,False,1.37,24
RST_012,2025-07-01,19_21,copero,2.0,2.0,0.0,1,False,False,False,1.37,24
RST_044,2025-07-01,19_21,copero,2.0,2.0,0.0,1,False,False,False,1.37,24
RST_008,2025-07-01,19_21,jefe_turno,2.0,2.0,0.0,1,False,False,False,1.5,24
RST_040,2025-07-01,21_23,garzon,2.0,2.0,0.0,1,False,False,False,0.65,11
RST_045,2025-07-01,21_23,garzon,2.0,2.0,0.8,1,False,False,False,0.65,11
RST_031,2025-07-01,21_23,host,2.0,2.0,0.0,1,False,False,False,1.3,11
RST_038,2025-07-01,21_23,cajero,2.0,2.0,0.0,1,False,False,False,1.3,11
RST_070,2025-07-01,21_23,cocinero_linea,2.0,2.0,0.0,1,False,False,False,0.65,11
RST_035,2025-07-01,21_23,cocinero_linea,2.0,2.0,0.0,1,False,False,False,0.65,11
RST_063,2025-07-01,21_23,ayudante_cocina,2.0,2.0,0.0,1,False,False,False,0.65,11
RST_046,2025-07-01,21_23,ayudante_cocina,2.0,2.0,0.3,1,False,False,False,0.65,11
RST_011,2025-07-01,21_23,runner,2.0,2.0,0.3,1,False,False,False,1.3,11
RST_012,2025-07-01,21_23,copero,2.0,2.0,0.5,1,False,False,False,1.3,11
RST_008,2025-07-01,21_23,jefe_turno,2.0,2.0,0.3,1,False,False,False,1.3,11
RST_040,2025-07-02,11_13,garzon,2.0,2.0,0.0,2,False,False,False,0.5,6
RST_071,2025-07-02,11_13,garzon,2.0,2.0,0.0,2,False,False,False,0.5,6
RST_031,2025-07-02,11_13,host,2.0,2.0,0.0,2,False,False,False,1.0,6
RST_006,2025-07-02,11_13,cajero,2.0,2.0,0.0,2,False,False,False,1.0,6
RST_042,2025-07-02,11_13,cocinero_linea,2.0,2.0,0.0,1,False,False,False,0.5,6
RST_051,2025-07-02,11_13,cocinero_linea,2.0,2.0,0.0,2,False,False,False,0.5,6
RST_046,2025-07-02,11_13,ayudante_cocina,2.0,2.0,0.0,2,False,False,False,1.0,6
RST_020,2025-07-02,11_13,runner,2.0,2.0,0.0,2,False,False,False,1.0,6
RST_048,2025-07-02,11_13,copero,2.0,2.0,0.0,2,False,False,False,1.0,6
RST_055,2025-07-02,11_13,jefe_turno,2.0,2.0,0.0,1,False,False,False,1.0,6
RST_024,2025-07-02,13_15,garzon,2.0,2.0,0.0,1,False,False,False,0.4,20
RST_066,2025-07-02,13_15,garzon,2.0,2.0,0.0,2,False,False,False,0.4,20
RST_060,2025-07-02,13_15,garzon,2.0,2.0,0.0,2,False,False,False,0.4,20
RST_015,2025-07-02,13_15,garzon,2.0,2.0,0.0,1,False,False,False,0.4,20
RST_062,2025-07-02,13_15,garzon,2.0,2.0,0.0,2,False,False,False,0.4,20
RST_030,2025-07-02,13_15,garzon,2.0,2.0,0.0,1,False,False,False,0.4,20
RST_041,2025-07-02,13_15,garzon,2.0,2.0,0.0,1,False,False,False,0.4,20
RST_031,2025-07-02,13_15,host,2.0,2.0,0.0,2,False,False,False,1.4,20
RST_022,2025-07-02,13_15,host,2.0,2.0,0.0,1,False,False,False,1.4,20
RST_006,2025-07-02,13_15,cajero,2.0,2.0,0.0,2,False,False,False,1.4,20
RST_064,2025-07-02,13_15,cajero,2.0,2.0,0.0,2,False,False,False,1.4,20
RST_010,2025-07-02,13_15,cocinero_linea,2.0,2.0,0.0,2,False,False,False,0.7,20
RST_054,2025-07-02,13_15,cocinero_linea,2.0,2.0,0.0,2,False,False,False,0.7,20
RST_036,2025-07-02,13_15,cocinero_linea,2.0,2.0,0.0,2,False,False,False,0.7,20
RST_016,2025-07-02,13_15,cocinero_linea,2.0,2.0,0.0,2,False,False,False,0.7,20
RST_063,2025-07-02,13_15,ayudante_cocina,2.0,2.0,0.0,2,False,False,False,0.93,20
RST_028,2025-07-02,13_15,ayudante_cocina,2.0,2.0,0.0,2,False,False,False,0.93,20
RST_046,2025-07-02,13_15,ayudante_cocina,2.0,2.0,0.6,2,False,False,False,0.93,20
RST_020,2025-07-02,13_15,runner,2.0,2.0,0.0,2,False,False,False,1.4,20
RST_057,2025-07-02,13_15,runner,2.0,2.0,0.0,2,False,False,False,1.4,20
RST_044,2025-07-02,13_15,copero,2.0,2.0,0.8,2,False,False,False,1.4,20
RST_032,2025-07-02,13_15,copero,2.0,2.0,0.4,2,False,False,False,1.4,20
RST_055,2025-07-02,13_15,jefe_turno,2.0,2.0,0.0,1,False,False,False,1.5,20
RST_066,2025-07-02,19_21,garzon,2.0,2.0,0.0,2,False,False,False,0.35,20
RST_071,2025-07-02,19_21,garzon,2.0,2.0,0.0,2,False,False,False,0.35,20
RST_005,2025-07-02,19_21,garzon,2.0,2.0,0.0,1,False,False,False,0.35,20
RST_007,2025-07-02,19_21,garzon,2.0,2.0,0.0,2,False,False,False,0.35,20
RST_041,2025-07-02,19_21,garzon,2.0,2.0,0.0,1,False,False,False,0.35,20
RST_040,2025-07-02,19_21,garzon,2.0,2.0,0.0,2,False,False,False,0.35,20
